Instance	IIRA avg diff	IIRA avg diff per job	IIRA avg cost per improvement	IIRA avg improvement per duration	SSIRA avg diff	SSIRA avg diff per job	SSIRA avg cost per improvement	SSIRA avg improvement per duration
instance01	nan	nan	nan	nan	295.5	9.234375	33.290531953522155	15.290816497774737
instance01_1	nan	nan	nan	nan	357.93939393939394	11.18560606060606	9.190709731413754	111.23325951352221
instance01_2	nan	nan	nan	nan	nan	nan	nan	nan
instance01_3	nan	nan	nan	nan	nan	nan	nan	nan
instance01_4	nan	nan	nan	nan	281.93333333333334	8.810416666666667	12.679223856209152	88.23322838597211
instance02	184.95575221238937	5.779867256637168	25.364921655543935	5.510151649439108	187.87878787878788	5.871212121212121	35.271652421652426	10.292389122549581
instance02_1	316.4848484848485	9.890151515151516	2.496745198913261	27.524670391199262	412.3529411764706	12.886029411764707	6.739063141555684	34.51787955800887
instance02_2	nan	nan	nan	nan	nan	nan	nan	nan
instance02_3	188.19097222222223	5.880967881944445	2.5548908930770824	43.97756509245008	268.5	8.390625	10.398004348468264	28.77548771089747
instance02_4	326.4146341463415	10.200457317073171	87.75264843557527	4.096250510757428	442.7692307692308	13.836538461538462	78.48690849120713	7.784256902271152
instance03	423.84615384615387	6.836228287841191	5.3418803418803416	326.5413062642826	423.2857142857143	6.8271889400921655	4.854497354497355	264.5497681262438
instance03_1	326.6666666666667	5.268817204301076	7.469135802469135	246.88306828671406	446.77777777777777	7.206093189964157	5.032150205761316	177.5895792313054
instance03_2	541.7272727272727	8.737536656891496	5.005941770647653	131.22438413170656	677.5833333333334	10.928763440860216	5.19510582010582	80.9843351738262
instance03_3	314.5416666666667	5.073252688172043	11.9990619704672	9.636391823937892	602.2222222222222	9.713261648745519	11.288607125563647	18.14665225041851
instance03_4	514.6	8.3	5.042735042735043	510.35471273838283	233.61111111111111	3.767921146953405	3.25713341945226	303.33514983267384
instance04	678.0	10.935483870967742	6.636303511303511	307.14786302629653	765.1388888888889	12.34094982078853	6.455773277834471	118.70685023596599
instance04_1	783.5	12.637096774193548	15.476035344078294	4.4383344847704524	730.15	11.776612903225805	5.8869731800766285	5.187593920037823
instance04_2	1220.5535714285713	19.68634792626728	5.272566903708778	5.34451598410064	974.3793103448276	15.71579532814238	7.593321183468965	3.654539470663377
instance04_3	705.516129032258	11.379292403746097	21.10436934630483	2.0314848035453963	645.5277777777778	10.411738351254481	15.78112139917695	2.103724460281528
instance04_4	651.4347826086956	10.507012622720897	6.794175027870682	244.79286174730711	432.6111111111111	6.977598566308243	2.6391827073112886	315.91961784613056
instance05	575.4	9.280645161290321	0.6935185185185184	333.1096295205585	312.77777777777777	5.044802867383512	0.8721904502541757	140.56619594576762
instance05_1	699.9444444444445	11.289426523297491	0.39127346419013076	120.88694143829032	318.80555555555554	5.142025089605735	0.8039148351648351	97.22436979784675
instance05_2	446.49122807017545	7.201471420486701	1.1732456140350878	109.78611442337204	64.19444444444444	1.0353942652329748	0.6526580459770114	91.9463418769072
instance05_3	585.6666666666666	9.446236559139784	0.661111111111111	119.20076676508498	197.36111111111111	3.1832437275985663	0.5561903759820426	163.55915121347758
instance05_4	653.6896551724138	10.543381535038932	1.4669540229885054	75.02917160887183	288.3333333333333	4.650537634408602	1.7793981481481482	65.26916995485918
instance06	nan	nan	nan	nan	1754.090909090909	28.291788856304983	11.493682265091524	2.4502340121606374
instance06_1	2791.0	45.016129032258064	0.5334052831740158	3.481764652890719	1512.4848484848485	24.394916911045943	14.647518363113672	3.204659997710912
instance06_2	nan	nan	nan	nan	1892.409090909091	30.522727272727273	27.24621212121212	1.7827440517712283
instance06_3	nan	nan	nan	nan	nan	nan	nan	nan
instance06_4	nan	nan	nan	nan	nan	nan	nan	nan
instance07	2243.2285714285713	18.38711943793911	6.600926248548199	4.972301195737159	1926.0555555555557	15.787340619307834	9.43601512118842	3.6727529691474508
instance07_1	2956.8443113772455	24.236428781780702	6.011297898011719	1.619035345727955	2996.1111111111113	24.558287795992715	4.738343253968254	0.4701634194429532
instance07_2	2343.1651376146788	19.20627161979245	2.7679283319705688	1.7744967940304008	701.4705882352941	5.749758919961428	2.543304904918227	1.0675894787428046
instance07_3	2243.6	18.39016393442623	14.185714285714287	0.8872341615563306	869.7777777777778	7.129326047358835	8.201768336964417	0.5233492964198457
instance07_4	2965.11	24.304180327868853	7.284282416375293	0.9254694958090016	2550.0555555555557	20.90209471766849	11.317874001452433	0.5318657783173255
instance08	1538.1962962962964	12.608166363084397	16.009847982293483	0.8498221820480895	1437.9714285714285	11.78665105386417	20.450457877585027	0.849697308569423
instance08_1	1601.6930693069307	13.12863171563058	11.442867466059068	1.1850326383863716	1165.1944444444443	9.550774134790528	21.609878424475895	0.731846363340358
instance08_2	1614.050193050193	13.229919615165516	10.428983710601358	0.8651092309170664	1715.3333333333333	14.060109289617486	15.689931803023686	1.1059012784928322
instance08_3	1319.8615384615384	10.818537200504414	27.82547452547453	0.39006800093518845	1174.391304347826	9.626158232359229	76.91708394617602	0.399561099211707
instance08_4	nan	nan	nan	nan	1262.4	10.347540983606558	14.941436853002068	1.1933453390999085
