Instance	SSIRA avg diff	IIRA avg diff	SSIRA avg cost/improvement	IIRA avg cost/improvement
instance01	9.234375	24.628389154704944	nan	nan
instance01_1	11.18560606060606	8.963215258855586	nan	nan
instance01_2	nan	nan	nan	nan
instance01_3	nan	nan	nan	nan
instance01_4	8.810416666666667	13.119747899159664	nan	nan
instance02	5.871212121212121	27.345724907063193	5.779867256637168	15.472673559822749
instance02_1	12.886029411764707	7.179125528913964	9.890151515151516	2.503065774804905
instance02_2	nan	nan	nan	nan
instance02_3	8.390625	11.158572844400396	5.880967881944445	2.6498238959631535
instance02_4	13.836538461538462	57.22222222222222	10.200457317073171	42.36065573770491
instance03	6.8271889400921655	4.94579945799458	6.836228287841191	5.3418803418803416
instance03_1	7.206093189964157	5.733830845771144	5.268817204301076	7.469135802469135
instance03_2	10.928763440860216	5.311791383219955	8.737536656891496	5.005941770647653
instance03_3	9.713261648745519	10.784737221022317	5.073252688172043	9.304584304584305
instance03_4	3.767921146953405	3.4539969834087483	8.3	4.666666666666667
instance04	12.34094982078853	6.930579460699943	10.935483870967742	7.317801672640382
instance04_1	11.776612903225805	6.9162210338680925	12.637096774193548	15.553250345781466
instance04_2	15.71579532814238	7.904245709123758	19.68634792626728	5.45853483790077
instance04_3	10.411738351254481	13.873015873015873	11.379292403746097	16.962481962481963
instance04_4	6.977598566308243	2.8592592592592596	10.507012622720897	6.66108319374651
instance05	5.044802867383512	0.8786639400136333	9.280645161290321	0.6935185185185184
instance05_1	5.142025089605735	0.8024948024948024	11.289426523297491	0.37996357012750454
instance05_2	1.0353942652329748	0.6917740336967294	7.201471420486701	1.2259887005649717
instance05_3	3.1832437275985663	0.6804670912951168	9.446236559139784	0.6611111111111111
instance05_4	4.650537634408602	1.8778089887640448	10.543381535038932	1.467741935483871
instance06	28.291788856304983	11.551282051282051	nan	nan
instance06_1	24.394916911045943	13.865497076023392	45.016129032258064	0.40158730158730155
instance06_2	30.522727272727273	27.840314136125652	nan	nan
instance06_3	nan	nan	nan	nan
instance06_4	nan	nan	nan	nan
instance07	15.787340619307834	9.788213627992633	18.38711943793911	6.333169291338583
instance07_1	24.558287795992715	5.303738317757009	24.236428781780702	5.934356951683336
instance07_2	5.749758919961428	2.8554778554778557	19.20627161979245	2.5594886922320548
instance07_3	7.129326047358835	8.925925925925926	18.39016393442623	13.76086956521739
instance07_4	20.90209471766849	11.492957746478872	24.304180327868853	7.34922471650081
instance08	11.78665105386417	21.49211711711712	12.608166363084397	17.37318181818182
instance08_1	9.550774134790528	25.614285714285714	13.12863171563058	9.28660935450969
instance08_2	14.060109289617486	19.010135135135133	13.229919615165516	11.314647725091188
instance08_3	9.626158232359229	51.37500000000001	10.818537200504414	25.73976221928666
instance08_4	10.347540983606558	15.773279352226721	nan	nan
